b1	b2	b3	b4	b5	b6	b7	r1	r2	r3	r4	r5	r6	r7	R01	R02	R03	R04	R05	R06	R07
0.376	0.693	0.376	0.227	0.368	0.387	0.147	0.062	0.182	0.055	0.062	0.038	0.032	0.032	3.054	6.104	3.035	1.841	2.939	3.069	1.165
0.378	0.693	0.379	0.228	0.366	0.386	0.147	0.062	0.182	0.056	0.062	0.038	0.031	0.032	3.07	6.102	3.066	1.85	2.916	3.064	1.166
0.366	0.702	0.377	0.227	0.365	0.388	0.146	0.062	0.18	0.056	0.062	0.038	0.032	0.032	2.973	6.17	3.048	1.838	2.913	3.084	1.156
0.373	0.7	0.369	0.229	0.373	0.393	0.145	0.062	0.18	0.057	0.064	0.038	0.03	0.031	3.024	6.157	2.984	1.858	2.972	3.12	1.15
0.367	0.698	0.371	0.23	0.374	0.394	0.145	0.062	0.179	0.057	0.064	0.038	0.031	0.031	2.978	6.131	3.002	1.872	2.979	3.126	1.148
0.382	0.694	0.365	0.232	0.377	0.393	0.144	0.061	0.181	0.058	0.065	0.039	0.03	0.031	3.094	6.102	2.949	1.886	3.005	3.116	1.143
0.381	0.681	0.375	0.234	0.38	0.394	0.146	0.06	0.182	0.058	0.064	0.038	0.03	0.03	3.084	5.993	3.033	1.899	3.034	3.124	1.155
0.381	0.681	0.375	0.234	0.38	0.394	0.146	0.06	0.182	0.058	0.064	0.038	0.03	0.03	3.084	5.993	3.033	1.899	3.034	3.124	1.155
0.388	0.678	0.38	0.229	0.38	0.389	0.147	0.06	0.182	0.057	0.063	0.037	0.03	0.031	3.141	5.966	3.071	1.863	3.031	3.084	1.167
0.385	0.68	0.378	0.229	0.383	0.388	0.147	0.06	0.182	0.059	0.064	0.037	0.03	0.031	3.119	5.986	3.059	1.862	3.057	3.077	1.169
0.39	0.678	0.375	0.232	0.378	0.388	0.147	0.058	0.181	0.059	0.063	0.038	0.031	0.031	3.152	5.964	3.033	1.882	3.017	3.079	1.166
0.39	0.681	0.378	0.23	0.373	0.392	0.147	0.057	0.182	0.059	0.062	0.037	0.03	0.031	3.156	5.994	3.061	1.866	2.977	3.107	1.164
0.393	0.675	0.379	0.231	0.377	0.391	0.147	0.058	0.182	0.059	0.062	0.037	0.03	0.031	3.182	5.943	3.071	1.878	3.003	3.104	1.17
0.393	0.675	0.379	0.231	0.377	0.391	0.147	0.058	0.182	0.059	0.062	0.037	0.03	0.031	3.182	5.943	3.071	1.878	3.003	3.104	1.17
0.389	0.674	0.381	0.232	0.376	0.391	0.147	0.058	0.182	0.059	0.062	0.038	0.03	0.031	3.148	5.935	3.086	1.88	3.002	3.1	1.163
0.389	0.674	0.381	0.232	0.376	0.391	0.147	0.058	0.182	0.059	0.062	0.038	0.03	0.031	3.148	5.935	3.086	1.88	3.002	3.1	1.163
0.388	0.673	0.383	0.237	0.38	0.393	0.147	0.057	0.181	0.059	0.062	0.036	0.029	0.03	3.137	5.922	3.099	1.925	3.027	3.111	1.165
0.388	0.673	0.383	0.237	0.38	0.393	0.147	0.057	0.181	0.059	0.062	0.036	0.029	0.03	3.137	5.922	3.099	1.925	3.027	3.111	1.165
0.388	0.673	0.383	0.237	0.38	0.393	0.147	0.057	0.181	0.059	0.062	0.036	0.029	0.03	3.137	5.922	3.099	1.925	3.027	3.111	1.165
0.384	0.672	0.384	0.238	0.376	0.395	0.147	0.058	0.182	0.06	0.06	0.036	0.029	0.03	3.11	5.919	3.112	1.928	2.994	3.129	1.164
0.384	0.686	0.381	0.234	0.369	0.397	0.145	0.06	0.183	0.058	0.062	0.036	0.029	0.03	3.111	6.046	3.08	1.899	2.94	3.144	1.153
0.388	0.68	0.382	0.232	0.37	0.397	0.146	0.059	0.184	0.057	0.062	0.037	0.029	0.03	3.138	5.992	3.09	1.88	2.951	3.149	1.156
0.397	0.674	0.386	0.228	0.369	0.394	0.145	0.059	0.184	0.057	0.062	0.037	0.03	0.03	3.21	5.942	3.123	1.853	2.945	3.125	1.151
0.395	0.673	0.385	0.23	0.369	0.398	0.145	0.058	0.184	0.056	0.062	0.038	0.03	0.03	3.193	5.93	3.109	1.87	2.94	3.152	1.153
0.404	0.668	0.384	0.231	0.37	0.397	0.146	0.058	0.184	0.056	0.062	0.038	0.03	0.03	3.267	5.89	3.101	1.87	2.95	3.149	1.156
0.404	0.668	0.384	0.231	0.37	0.397	0.146	0.058	0.184	0.056	0.062	0.038	0.03	0.03	3.267	5.89	3.101	1.87	2.95	3.149	1.156
0.404	0.668	0.384	0.231	0.37	0.397	0.146	0.058	0.184	0.056	0.062	0.038	0.03	0.03	3.267	5.89	3.101	1.87	2.95	3.149	1.156
0.404	0.668	0.384	0.231	0.37	0.397	0.146	0.058	0.184	0.056	0.062	0.038	0.03	0.03	3.267	5.89	3.101	1.87	2.95	3.149	1.156
0.41	0.668	0.386	0.227	0.375	0.391	0.144	0.057	0.184	0.056	0.062	0.037	0.03	0.03	3.314	5.884	3.116	1.845	2.99	3.097	1.145
0.413	0.669	0.385	0.229	0.373	0.39	0.144	0.057	0.185	0.055	0.062	0.036	0.029	0.031	3.335	5.899	3.108	1.859	2.973	3.091	1.142
0.41	0.672	0.381	0.229	0.377	0.39	0.144	0.057	0.184	0.055	0.062	0.037	0.03	0.031	3.315	5.924	3.072	1.858	3.007	3.09	1.14
0.41	0.672	0.381	0.229	0.377	0.39	0.144	0.057	0.184	0.055	0.062	0.037	0.03	0.031	3.315	5.924	3.072	1.858	3.007	3.09	1.14
0.41	0.672	0.381	0.229	0.377	0.39	0.144	0.057	0.184	0.055	0.062	0.037	0.03	0.031	3.315	5.924	3.072	1.858	3.007	3.09	1.14
0.41	0.672	0.381	0.229	0.377	0.39	0.144	0.057	0.184	0.055	0.062	0.037	0.03	0.031	3.315	5.924	3.072	1.858	3.007	3.09	1.14
0.42	0.662	0.385	0.227	0.375	0.389	0.144	0.055	0.185	0.056	0.063	0.037	0.03	0.031	3.389	5.842	3.113	1.844	2.99	3.087	1.139
0.42	0.662	0.385	0.227	0.375	0.389	0.144	0.055	0.185	0.056	0.063	0.037	0.03	0.031	3.389	5.842	3.113	1.844	2.99	3.087	1.139
0.41	0.67	0.387	0.225	0.379	0.386	0.143	0.055	0.184	0.056	0.062	0.036	0.03	0.031	3.311	5.908	3.127	1.827	3.019	3.06	1.137
0.404	0.672	0.387	0.225	0.382	0.386	0.146	0.056	0.184	0.057	0.062	0.036	0.03	0.031	3.263	5.924	3.132	1.825	3.04	3.062	1.155
0.41	0.666	0.39	0.224	0.385	0.39	0.146	0.057	0.184	0.056	0.062	0.036	0.029	0.03	3.314	5.873	3.147	1.819	3.065	3.087	1.159
0.401	0.67	0.391	0.223	0.385	0.389	0.147	0.057	0.184	0.055	0.062	0.036	0.029	0.03	3.245	5.908	3.155	1.808	3.069	3.08	1.164
0.403	0.68	0.385	0.219	0.391	0.395	0.147	0.057	0.182	0.055	0.062	0.036	0.028	0.029	3.259	5.982	3.109	1.781	3.114	3.13	1.167
0.413	0.668	0.39	0.22	0.387	0.398	0.147	0.058	0.183	0.056	0.062	0.035	0.028	0.029	3.339	5.889	3.151	1.784	3.081	3.152	1.164
0.413	0.668	0.39	0.22	0.387	0.398	0.147	0.058	0.183	0.056	0.062	0.035	0.028	0.029	3.339	5.889	3.151	1.784	3.081	3.152	1.164
0.407	0.673	0.388	0.224	0.386	0.399	0.147	0.058	0.183	0.055	0.062	0.035	0.028	0.029	3.295	5.931	3.135	1.816	3.073	3.156	1.164
0.404	0.677	0.385	0.226	0.387	0.4	0.148	0.058	0.183	0.054	0.061	0.036	0.028	0.028	3.271	5.965	3.105	1.832	3.078	3.17	1.171
0.406	0.68	0.384	0.226	0.384	0.4	0.148	0.057	0.182	0.054	0.06	0.035	0.027	0.028	3.282	5.984	3.096	1.829	3.059	3.167	1.17
0.402	0.674	0.39	0.226	0.384	0.403	0.147	0.058	0.182	0.054	0.061	0.035	0.027	0.028	3.251	5.934	3.147	1.83	3.054	3.191	1.164
0.405	0.671	0.393	0.225	0.385	0.405	0.147	0.057	0.182	0.053	0.06	0.035	0.027	0.028	3.274	5.906	3.169	1.825	3.063	3.2	1.164
0.402	0.678	0.389	0.226	0.381	0.405	0.146	0.058	0.182	0.053	0.06	0.035	0.027	0.028	3.252	5.965	3.133	1.829	3.035	3.202	1.16
0.407	0.68	0.387	0.22	0.383	0.406	0.146	0.057	0.181	0.053	0.06	0.036	0.027	0.028	3.293	5.977	3.122	1.778	3.053	3.211	1.158
0.407	0.68	0.387	0.22	0.383	0.406	0.146	0.057	0.181	0.053	0.06	0.036	0.027	0.028	3.293	5.977	3.122	1.778	3.053	3.211	1.158
0.403	0.684	0.387	0.223	0.383	0.402	0.146	0.057	0.181	0.052	0.059	0.035	0.027	0.028	3.256	6.02	3.121	1.808	3.049	3.182	1.155
0.398	0.691	0.388	0.222	0.38	0.401	0.146	0.057	0.18	0.053	0.058	0.035	0.027	0.028	3.216	6.077	3.13	1.798	3.025	3.171	1.154
0.4	0.686	0.388	0.225	0.381	0.402	0.146	0.055	0.181	0.053	0.058	0.035	0.027	0.028	3.227	6.034	3.127	1.824	3.028	3.177	1.159
0.4	0.686	0.388	0.225	0.381	0.402	0.146	0.055	0.181	0.053	0.058	0.035	0.027	0.028	3.227	6.034	3.127	1.824	3.028	3.177	1.159
0.402	0.685	0.39	0.223	0.38	0.402	0.146	0.056	0.18	0.054	0.057	0.034	0.027	0.028	3.246	6.023	3.141	1.807	3.023	3.183	1.16
0.389	0.68	0.394	0.232	0.381	0.401	0.146	0.055	0.182	0.053	0.057	0.034	0.027	0.028	3.144	5.983	3.173	1.874	3.03	3.174	1.16
0.39	0.68	0.392	0.233	0.381	0.399	0.146	0.054	0.183	0.054	0.057	0.034	0.027	0.028	3.145	5.985	3.162	1.881	3.032	3.154	1.16
0.386	0.677	0.399	0.234	0.381	0.401	0.145	0.055	0.182	0.055	0.058	0.034	0.027	0.028	3.117	5.956	3.217	1.895	3.025	3.171	1.152
0.383	0.681	0.397	0.234	0.379	0.399	0.146	0.055	0.182	0.055	0.058	0.033	0.027	0.028	3.097	5.997	3.207	1.896	3.014	3.16	1.155
0.396	0.672	0.391	0.236	0.385	0.4	0.148	0.055	0.182	0.055	0.058	0.034	0.027	0.028	3.198	5.912	3.16	1.911	3.063	3.166	1.168
0.396	0.672	0.391	0.236	0.385	0.4	0.148	0.055	0.182	0.055	0.058	0.034	0.027	0.028	3.198	5.912	3.16	1.911	3.063	3.166	1.168
0.399	0.678	0.392	0.23	0.379	0.402	0.146	0.055	0.182	0.055	0.058	0.034	0.027	0.028	3.22	5.964	3.162	1.86	3.018	3.178	1.157
0.399	0.678	0.392	0.23	0.379	0.402	0.146	0.055	0.182	0.055	0.058	0.034	0.027	0.028	3.22	5.964	3.162	1.86	3.018	3.178	1.157
0.399	0.678	0.392	0.23	0.379	0.402	0.146	0.055	0.182	0.055	0.058	0.034	0.027	0.028	3.22	5.964	3.162	1.86	3.018	3.178	1.157
0.399	0.678	0.392	0.23	0.379	0.402	0.146	0.055	0.182	0.055	0.058	0.034	0.027	0.028	3.22	5.964	3.162	1.86	3.018	3.178	1.157
0.399	0.678	0.392	0.23	0.379	0.402	0.146	0.055	0.182	0.055	0.058	0.034	0.027	0.028	3.22	5.964	3.162	1.86	3.018	3.178	1.157
0.393	0.68	0.392	0.231	0.383	0.402	0.146	0.055	0.182	0.055	0.058	0.034	0.027	0.027	3.171	5.984	3.163	1.866	3.05	3.183	1.159
0.393	0.68	0.392	0.231	0.383	0.402	0.146	0.055	0.182	0.055	0.058	0.034	0.027	0.027	3.171	5.984	3.163	1.866	3.05	3.183	1.159
0.386	0.679	0.394	0.234	0.383	0.403	0.147	0.055	0.183	0.055	0.058	0.034	0.026	0.027	3.119	5.979	3.179	1.89	3.044	3.19	1.161
