b1	b2	b3	b4	b5	b6	b7	r1	r2	r3	r4	r5	r6	r7	R01	R02	R03	R04	R05	R06	R07
0.463	0.69	0.385	0.236	0.389	0.385	0.136	0.043	0.171	0.054	0.06	0.035	0.028	0.029	3.61	5.487	3.012	1.845	3.033	2.995	1.061
0.463	0.69	0.385	0.236	0.389	0.385	0.136	0.043	0.171	0.054	0.06	0.035	0.028	0.029	3.61	5.487	3.012	1.845	3.033	2.995	1.061
0.462	0.693	0.382	0.236	0.389	0.386	0.137	0.043	0.172	0.054	0.06	0.035	0.028	0.029	3.603	5.508	2.986	1.843	3.03	3.005	1.063
0.462	0.687	0.385	0.236	0.389	0.386	0.136	0.043	0.172	0.054	0.06	0.035	0.028	0.029	3.608	5.462	3.013	1.847	3.03	3.003	1.058
0.462	0.687	0.385	0.236	0.389	0.386	0.136	0.043	0.172	0.054	0.06	0.035	0.028	0.029	3.608	5.462	3.013	1.847	3.03	3.003	1.058
0.465	0.683	0.387	0.236	0.388	0.387	0.137	0.044	0.173	0.054	0.061	0.035	0.028	0.029	3.629	5.435	3.027	1.844	3.024	3.017	1.065
0.457	0.688	0.386	0.236	0.387	0.387	0.137	0.044	0.172	0.054	0.06	0.036	0.028	0.029	3.569	5.468	3.017	1.85	3.017	3.011	1.065
0.464	0.686	0.388	0.236	0.388	0.385	0.135	0.044	0.172	0.055	0.061	0.034	0.028	0.029	3.619	5.452	3.032	1.85	3.023	2.997	1.049
0.464	0.686	0.388	0.236	0.388	0.385	0.135	0.044	0.172	0.055	0.061	0.034	0.028	0.029	3.619	5.452	3.032	1.85	3.023	2.997	1.049
0.471	0.685	0.386	0.235	0.385	0.386	0.135	0.043	0.173	0.054	0.061	0.035	0.028	0.029	3.676	5.446	3.017	1.841	3.004	3.006	1.049
0.471	0.685	0.386	0.235	0.385	0.386	0.135	0.043	0.173	0.054	0.061	0.035	0.028	0.029	3.676	5.446	3.017	1.841	3.004	3.006	1.049
0.469	0.683	0.389	0.238	0.38	0.384	0.134	0.044	0.172	0.055	0.059	0.035	0.028	0.03	3.664	5.433	3.042	1.859	2.96	2.992	1.044
0.469	0.683	0.389	0.238	0.38	0.384	0.134	0.044	0.172	0.055	0.059	0.035	0.028	0.03	3.664	5.433	3.042	1.859	2.96	2.992	1.044
0.46	0.689	0.392	0.235	0.378	0.386	0.134	0.044	0.173	0.055	0.058	0.035	0.029	0.029	3.593	5.478	3.065	1.835	2.947	3.01	1.045
0.466	0.683	0.393	0.238	0.379	0.387	0.134	0.046	0.174	0.054	0.057	0.035	0.028	0.028	3.641	5.431	3.076	1.861	2.956	3.014	1.048
0.466	0.687	0.386	0.24	0.382	0.378	0.135	0.045	0.175	0.054	0.058	0.035	0.029	0.03	3.642	5.462	3.022	1.876	2.975	2.943	1.05
0.463	0.694	0.385	0.23	0.386	0.377	0.134	0.046	0.176	0.053	0.059	0.035	0.029	0.031	3.619	5.525	3.012	1.798	3.013	2.936	1.041
0.451	0.703	0.388	0.227	0.385	0.377	0.133	0.046	0.176	0.052	0.059	0.035	0.029	0.03	3.521	5.591	3.031	1.778	3.003	2.938	1.037
0.443	0.705	0.391	0.226	0.39	0.377	0.133	0.046	0.177	0.052	0.059	0.035	0.029	0.03	3.456	5.608	3.053	1.768	3.038	2.938	1.04
0.439	0.695	0.399	0.224	0.391	0.381	0.134	0.046	0.176	0.052	0.059	0.035	0.029	0.03	3.428	5.529	3.121	1.751	3.049	2.97	1.046
0.437	0.697	0.397	0.227	0.39	0.381	0.133	0.045	0.177	0.052	0.059	0.035	0.029	0.03	3.414	5.549	3.104	1.778	3.043	2.965	1.038
0.438	0.697	0.399	0.228	0.39	0.381	0.133	0.044	0.177	0.052	0.06	0.034	0.028	0.029	3.418	5.549	3.117	1.784	3.041	2.97	1.035
0.455	0.699	0.39	0.23	0.383	0.384	0.134	0.043	0.176	0.054	0.058	0.035	0.028	0.029	3.551	5.558	3.053	1.797	2.99	2.987	1.044
0.438	0.705	0.389	0.233	0.382	0.388	0.134	0.044	0.177	0.054	0.059	0.035	0.028	0.029	3.421	5.609	3.039	1.819	2.977	3.02	1.045
0.438	0.705	0.389	0.233	0.382	0.388	0.134	0.044	0.177	0.054	0.059	0.035	0.028	0.029	3.421	5.609	3.039	1.819	2.977	3.02	1.045
